"Marca temporal","Selecciona tu plantel:","Selecciona tu sexo:","Mi edad:","Grado escolar que estudio:","¿Cómo es tu hogar?","Ademas de estudiar, ¿realizas algún trabajo?","¿Te sientes seguro/a en tu escuela?","Si requieres de ayuda, ¿cuentas con personas dispuestas a auxiliarte en tu escuela?","¿Te sientes seguro/a en tu casa?","Si requirieras ayuda en tu hogar, ¿cuentas con personas dispuestas a auxiliarte? ","En el último mes, has sentido de manera continua:","¿Te gustaría hablar con un profesional de la salud sobre alguna(s) de esta(s) emociones que has sentido?","¿Experimentas alguna situación emocional en tu vida que interfiera con la capacidad para trabajar, estudiar, dormir, comer y disfrutar de actividades?","¿Con qué frecuencia experimentas sensaciones de bienestar/seguridad/alegría en tu vida diaria?","¿De qué temas relacionados a la sana convivencia y salud mental te gustaría conocer más?","¿Haz tenido relaciones sexuales?","¿Estuviste de acuerdo en tener relaciones sexuales?","¿A qué edad tuviste tu primera relación sexual? ","La última vez que tuviste relaciones sexuales, ¿tu pareja o tú utilizaron condón o preservativo masculino o femenino?","¿Alguna vez ha sido diagnosticado con una enfermedad de transmisión sexual?","En los últimos 12 meses, ¿has tenido o sentido alguno de los siguientes síntomas? ","¿Existe algo relacionado a tu sexualidad que cause preocupación o estrés en tu vida?","De los siguientes temas, ¿cuál te gustaría conocer un poquito más?","En los últimos 12 meses, ¿participaste en alguna pelea con otros jóvenes?","Durante el mes pasado, ¿alguna vez tomaste alcohol como para sentirte borracho/a?","¿Tienes novio o novia?","¿Cuanto tiempo llevas en tu noviazgo","¿Como evaluas la relación con tu pareja?","Durante los últimos 12 meses, tu pareja intencionalmente ¿te golpeo, abofeteo, o te dañó físicamente de alguna manera?","¿Solicitaste ayuda, a alguien?","¿Alguna vez en tu vida, has consumido alguna droga?","Que sustencia has consumido:","Sientes que el consumo de alguna de las sustancias que has mencionado, ¿te ha causado algún problema en tu vida cotidiana?","¿Te gustaría hablar con un profesional de salud acerca de las adicciones?"
"2022/03/15 11:47:05 a. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Femenino","16 años ","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","No","Sí","No","No","Tristeza;Ansiedad;Enojo o rabia","Ya estoy llegando con un especialista","Si","Pocas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/15 11:49:50 a. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","Tristeza;Ansiedad","Me gustaria hablar con un especialista","Si","Pocas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/15 11:51:16 a. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Femenino","18 años ","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","No","Algunas veces","Buen trato y compañerismo","No","","","","","Picazón en la vulva o área genital externa","No","Métodos anticonceptivos","No","No","Sí","Menos de 6 meses","10","No","No","No","","",""
"2022/03/15 11:51:20 a. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Masculino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","Tristeza;Ansiedad","Me gustaria hablar con un especialista","Si","Pocas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","Sí","Sí","Sí","Menos de 6 meses","10","No","No","No","","",""
"2022/03/15 11:52:09 a. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Femenino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","Sí","Mas de 2 años","10","No","No","No","","",""
"2022/03/15 11:54:10 a. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","No","Sí","Sí","Sí","Tristeza;Ansiedad","No estoy interesado(a)","No","Algunas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/15 11:55:21 a. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Masculino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","Tristeza;Ansiedad","Me gustaria hablar con un especialista","Si","Pocas veces","Depresión y ansiedad","Sí","Sí","16","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","Sí","Sí","Sí","Menos de 6 meses","10","No","No","No","","",""
"2022/03/15 11:56:56 a. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Masculino","15","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Muchas veces","Los deportes","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","Sí","No","No","","","","","No","","",""
"2022/03/15 11:57:15 a. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Femenino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","No","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","Sí","No","","","","","No","","",""
"2022/03/15 11:58:11 a. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Masculino","17","Segundo año (tercer o cuarto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","Sí","Sí","Ansiedad","No estoy interesado(a)","Si","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","Sí","Sí","No","","","","","Sí","Marihuana","No","No estoy interesado(a)"
"2022/03/15 12:01:56 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Femenino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/15 12:02:30 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Masculino","16","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","Tristeza;Ansiedad;Enojo o rabia","No estoy interesado(a)","Si","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","Sí","Menos de 6 meses","10","No","No","Sí","Marihuana;Cocaína;Inhalantes;Heroína;Metanfetaminas;Éxtasis;Tabaco ","No","No estoy interesado(a)"
"2022/03/15 12:06:47 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Masculino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Sensación de Muerte JAJAJA","No estoy interesado(a)","No","Muchas veces","Ninguno","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Ninguno,estoy bien informado","No","No","No","","","","","No","","",""
"2022/03/15 12:07:29 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Masculino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","Si","Pocas veces","Depresión y ansiedad","Sí","Sí","15 años","Sí","No","Ninguna de las anteriores, me he sentido bien","Sí","Enfermedades de transmisión sexual","No","Sí","Sí","Menos de 6 meses","10","No","No","No","","",""
"2022/03/15 12:08:11 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Femenino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","No","Sí","Tristeza","No estoy interesado(a)","Si","Pocas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","Sí","Entre 1 y 2 años","5","No","Sí","No","","",""
"2022/03/15 12:10:34 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Masculino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Tristeza;Enojo o rabia","Me gustaria hablar con un especialista","Si","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/15 12:11:49 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Masculino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","No","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Muchas veces","Manejo de la frustración","Sí","Sí","17","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/15 12:14:12 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Masculino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","No","No","Sí","No","Tristeza;Ansiedad;Enojo o rabia","Me gustaria hablar con un especialista","Si","Algunas veces","Depresión y ansiedad","No","","","","","Dolor al orinar o ganas de orinar muy frecuentes","Sí","Sexualidad plena y responsable","No","Sí","No","","","","","No","","",""
"2022/03/15 12:14:30 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","No me identifico con ninguna de las 2 anteriores","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","No","Sí","Sí","Ansiedad","No estoy interesado(a)","Si","Pocas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","Sí","Sí","Menos de 6 meses","8","No","No","No","","",""
"2022/03/15 12:15:20 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Femenino","17","Segundo año (tercer o cuarto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","Sí","No","No","Sí","Sí","Ansiedad","Ya estoy llegando con un especialista","Si","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","Sí","Entre 1 y 2 años","10","No","No","No","","",""
"2022/03/15 12:15:28 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Femenino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","No","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","Sí","No","","","","","No","","",""
"2022/03/15 12:18:03 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","No me identifico con ninguna de las 2 anteriores","18","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","No","Sí","Ansiedad;Enojo o rabia","Me gustaria hablar con un especialista","No","Muchas veces","Buen trato y compañerismo","Sí","Sí","14","No","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","Sí","No","","","","","No","","",""
"2022/03/15 12:19:40 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","No","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","Si","Muchas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/15 12:26:35 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Masculino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","No","Algunas veces","Buen trato y compañerismo","Sí","Sí","16","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","Sí","Mas de 2 años","9","No","No","Sí","Marihuana","No","No estoy interesado(a)"
"2022/03/15 12:27:16 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","No","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/15 12:27:44 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Tristeza","No estoy interesado(a)","Si","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","Sí","Entre 6 meses y un año","10","No","No","No","","",""
"2022/03/15 12:28:03 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Femenino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad","No estoy interesado(a)","Si","Muchas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/15 12:29:13 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Muchas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/15 12:29:58 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Femenino","17 años","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","Sí","Menos de 6 meses","10","No","No","No","","",""
"2022/03/15 12:30:08 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad","No estoy interesado(a)","No","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","Sí","Entre 6 meses y un año","10","No","No","No","","",""
"2022/03/15 12:30:19 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/15 12:31:15 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Masculino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","Sí","No","Sí","Menos de 6 meses","10","No","No","No","","",""
"2022/03/15 12:31:32 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","Ansiedad","No estoy interesado(a)","Si","Pocas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/15 12:31:54 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Masculino","18","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","Sí","Entre 1 y 2 años","10","No","No","No","","",""
"2022/03/15 12:32:00 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Femenino","17 años","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/15 12:32:43 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Femenino","17 años","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/15 12:33:28 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","Sí","Sí","Tristeza","Me gustaria hablar con un especialista","Si","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","Sí","No","","","","","No","","",""
"2022/03/15 12:36:05 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Masculino","17 años","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","No","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","Si","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","Sí","Menos de 6 meses","8","No","No","No","","",""
"2022/03/15 12:36:31 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","No","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Manejo de la frustración","Sí","Sí","16","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","Sí","Sí","No","","","","","No","","",""
"2022/03/15 12:37:10 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","No","Sí","No","No","Ansiedad","Ya estoy llegando con un especialista","Si","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/15 12:38:34 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Femenino","17 años ","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","Si","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","Sí","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/15 12:39:38 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","Sí","Sí","Sí","Sí","Sí","Enojo o rabia","Me gustaria hablar con un especialista","No","Algunas veces","Buen trato y compañerismo","Sí","Sí","16","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/15 12:39:52 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Femenino","15 ","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Tristeza;Ansiedad;Enojo o rabia","No estoy interesado(a)","No","Algunas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/15 12:40:21 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Femenino","18 años","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Tristeza","Me gustaria hablar con un especialista","No","Pocas veces","Manejo de la frustración","No","","","","","Picazón en la vulva o área genital externa","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/15 12:40:40 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Depresión y ansiedad","Sí","Sí","17 años","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","Sí","Entre 6 meses y un año","9","No","No","No","","",""
"2022/03/15 12:41:14 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Femenino","15 años","Primer año (primer o segundo semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/15 12:41:40 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Femenino","15 años","Primer año (primer o segundo semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","No","Sí","Sí","Tristeza","Me gustaria hablar con un especialista","Si","Algunas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","Sí","Entre 1 y 2 años","9","No","No","No","","",""
"2022/03/15 12:41:48 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","Si","Muchas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/15 12:42:04 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","Si","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/15 12:42:10 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Masculino","17 ","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","No","Algunas veces","Depresión y ansiedad","Sí","Sí","16","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/15 12:42:31 p. m. GMT-5","CECyTE Plantel No. 17 - Francisco J. Santamaría","Femenino","16","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","Tristeza;Ansiedad","Me gustaria hablar con un especialista","Si","Pocas veces","Depresión y ansiedad","Sí","No","A los 7 pero fue abuso y a los 12 por mi padrastro abuso de mi","No","Sí","Ninguna de las anteriores, me he sentido bien","Sí","Sexualidad plena y responsable","No","No","Sí","Menos de 6 meses","6","No","No","No","","",""
"2022/03/15 12:43:34 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Femenino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","Tristeza","Me gustaria hablar con un especialista","Si","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","Sí","Sí","Sí","Entre 6 meses y un año","8","No","No","No","","",""
"2022/03/15 12:43:45 p. m. GMT-5","CECyTE Plantel No. 04 - Comalcalco","Femenino","17 años ","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","Sí","Sí","Tristeza;Ansiedad","Me gustaria hablar con un especialista","Si","Algunas veces","Buen trato y compañerismo","Sí","Sí","17","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","Sí","Entre 6 meses y un año","10","No","No","No","","",""
"2022/03/15 12:43:46 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Femenino","16","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","Si","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","Sí","Menos de 6 meses","10","No","No","No","","",""
"2022/03/15 12:43:55 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Masculino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","No","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/15 12:44:09 p. m. GMT-5","CECyTE Plantel No. 11 - Buenavista","Femenino","15 Años ","Primer año (primer o segundo semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
